"technology_node","yield","er_z_score","dr_z_score","cd_z_score","ot_z_score","spc_status"
"10nm",0.607,0.466,-0.797,-0.795,-0.588,Normal
"10nm",0.410,0.832,0.051,-0.934,-0.242,Normal
"10nm",0.611,0.297,0.490,-0.911,0.401,Normal
"10nm",0.731,0.202,-0.569,0.450,-0.555,Normal
"10nm",0.341,0.057,-0.246,1.843,-0.165,Normal
"10nm",0.888,-0.532,-0.456,-1.002,-1.232,Normal
"10nm",0.458,0.363,-0.800,-0.878,0.279,Normal
"10nm",0.390,-0.104,-0.154,1.102,0.410,Normal
"10nm",0.626,-0.190,-1.979,1.052,1.180,Normal
"10nm",0.693,-0.358,-0.573,0.312,0.286,Normal
"10nm",0.832,0.681,0.496,0.603,2.383,Warning
"10nm",0.661,1.450,-1.715,0.172,-0.437,Normal
"10nm",0.330,0.605,0.077,-0.055,-0.550,Normal
"10nm",0.606,-0.393,0.241,-1.183,0.833,Normal
"10nm",0.808,-0.657,-0.605,0.123,1.026,Normal
"10nm",0.404,0.191,0.841,-0.453,-1.635,Normal
"10nm",0.409,-0.494,0.675,0.229,-2.534,Warning
"10nm",0.695,-0.775,-1.303,0.398,0.605,Normal
"10nm",0.333,-0.226,-0.077,0.134,0.825,Normal
"10nm",0.456,0.204,-0.088,-0.053,-0.900,Normal
"10nm",0.644,2.349,-0.333,-1.137,-1.342,Warning
"10nm",0.791,0.351,-1.891,-0.738,-0.940,Normal
"10nm",0.469,0.440,0.141,-1.395,-0.378,Normal
"10nm",0.535,-0.081,-0.386,-0.544,1.337,Normal
"10nm",0.467,0.868,-0.833,-0.572,0.050,Normal
"10nm",0.629,0.240,-0.604,-0.203,-0.382,Normal
"10nm",0.521,-0.358,-1.843,-0.936,0.010,Normal
"10nm",0.385,-1.806,-0.388,2.094,-0.502,Warning
"10nm",0.644,-1.035,0.168,-0.608,-0.305,Normal
"10nm",0.655,-0.588,-0.227,0.330,-0.104,Normal
"10nm",0.731,-3.110,-0.074,-1.189,-0.779,OOC
"10nm",0.587,0.590,-0.315,-0.589,-1.417,Normal
"10nm",0.539,-0.449,1.099,0.844,-2.356,Warning
"10nm",0.631,-0.479,-1.773,-0.568,1.626,Normal
"10nm",0.524,-0.371,-0.290,0.328,-0.746,Normal
"10nm",0.339,-0.067,-0.672,0.661,-0.083,Normal
"10nm",0.665,-1.031,1.224,1.358,-1.792,Normal
"10nm",0.393,-0.555,0.121,0.158,1.255,Normal
"10nm",0.681,-1.365,-2.082,-0.291,0.536,Warning
"10nm",0.765,-0.175,-1.246,-0.743,-1.560,Normal
"10nm",0.410,-1.627,-0.966,-0.526,-0.752,Normal
"10nm",0.437,-0.860,-1.192,0.181,0.026,Normal
"10nm",0.486,-1.065,-1.140,0.504,2.037,Warning
"10nm",0.792,-0.509,-2.061,0.276,-0.077,Warning
"10nm",0.467,0.420,-1.871,0.488,0.825,Normal
"10nm",0.429,1.242,0.584,-1.031,-1.474,Normal
"10nm",0.495,0.321,-1.607,0.381,-0.619,Normal
"10nm",0.586,-0.133,-1.247,-1.131,-0.980,Normal
"10nm",0.883,-1.015,0.534,-0.239,1.282,Normal
"10nm",0.723,-1.915,-0.877,1.198,0.711,Normal
"10nm",0.431,0.764,-0.945,0.076,1.458,Normal
"10nm",0.645,0.504,-1.797,0.414,-0.376,Normal
"10nm",0.745,0.736,1.077,-0.261,-0.543,Normal
"10nm",0.441,2.539,0.186,-0.786,-0.219,Warning
"10nm",0.519,1.996,-0.899,-0.264,-1.963,Normal
"10nm",0.649,-0.812,0.463,-1.655,0.319,Normal
"10nm",0.364,0.464,-0.028,-0.557,-0.964,Normal
"10nm",0.665,1.040,-0.519,0.900,-0.178,Normal
"10nm",0.715,0.635,0.490,-1.317,-1.352,Normal
"10nm",0.499,0.243,1.851,-1.185,-0.979,Normal
"10nm",0.684,2.890,1.133,1.314,-0.251,Warning
"10nm",0.518,1.652,-1.011,0.550,-0.043,Normal
"10nm",0.702,2.080,1.529,-0.393,0.749,Warning
"10nm",0.631,1.119,-1.024,-0.198,-0.350,Normal
"10nm",0.665,1.225,1.065,-0.188,1.115,Normal
"10nm",0.350,1.083,1.880,0.183,1.953,Normal
"10nm",0.565,1.335,-0.467,0.578,-1.244,Normal
"10nm",0.590,1.854,-1.071,-1.393,0.250,Normal
"10nm",0.786,1.281,0.340,-1.391,-1.145,Normal
"10nm",0.666,-0.354,0.964,0.002,0.590,Normal
"10nm",0.456,1.991,-1.330,-0.221,0.135,Normal
"10nm",0.556,2.208,0.692,-0.188,-1.059,Warning
"10nm",0.658,0.033,-1.581,1.337,1.273,Normal
"10nm",0.683,1.491,-0.294,0.006,1.960,Normal
"10nm",0.492,0.791,0.354,-1.558,-0.290,Normal
"10nm",0.651,2.198,-0.105,0.087,-1.527,Warning
"10nm",0.286,0.920,-0.424,1.438,-1.058,Normal
"10nm",0.401,0.837,-0.905,1.153,-1.072,Normal
"10nm",0.428,1.217,-0.310,0.213,0.801,Normal
"10nm",0.717,1.857,0.029,-1.204,0.584,Normal
"10nm",0.757,1.162,-1.503,-0.618,1.138,Normal
"10nm",0.717,0.767,-1.871,-0.712,1.142,Normal
"10nm",0.550,-0.163,0.775,0.719,-0.503,Normal
"10nm",0.433,0.379,0.317,-0.640,-0.425,Normal
"10nm",0.599,1.302,-0.393,-0.724,-0.588,Normal
"10nm",0.487,1.551,-0.207,-0.820,1.370,Normal
"10nm",0.528,0.941,1.635,-0.608,-1.023,Normal
"10nm",0.462,-0.085,0.328,-0.168,-0.596,Normal
"10nm",0.367,2.247,-0.617,1.421,2.012,Warning
"10nm",0.465,-0.351,-1.061,-0.580,0.300,Normal
"10nm",0.581,1.058,-0.161,-0.360,1.106,Normal
"10nm",0.718,1.160,-0.050,-0.160,-1.054,Normal
"10nm",0.700,0.204,0.416,-0.992,0.095,Normal
"10nm",0.771,1.672,-0.179,0.557,-0.174,Normal
"10nm",0.823,0.209,0.782,1.250,0.489,Normal
"10nm",0.605,0.552,-0.572,-0.585,0.197,Normal
"10nm",0.444,-0.066,0.725,-0.208,-0.884,Normal
"10nm",0.336,1.887,0.372,0.429,0.095,Normal
"10nm",0.534,0.931,-0.725,-0.029,0.023,Normal
"10nm",0.253,0.674,0.606,1.901,0.326,Normal
"10nm",0.550,1.320,-0.688,1.098,0.433,Normal
"10nm",0.347,0.440,-0.086,-0.035,-1.339,Normal
"10nm",0.581,1.182,-0.857,-0.697,0.549,Normal
"10nm",0.481,-0.051,-2.709,0.139,-1.206,Warning
"10nm",0.570,0.568,-2.140,-0.143,1.231,Warning
"10nm",0.279,0.162,-1.659,1.579,-0.446,Normal
"10nm",0.407,0.788,-2.093,-1.747,0.484,Warning
"10nm",0.659,0.388,0.144,0.723,-0.307,Normal
"10nm",0.410,-0.741,-0.408,-0.746,1.574,Normal
"10nm",0.514,1.389,-1.459,1.263,0.143,Normal
"10nm",0.210,1.114,-2.366,1.890,-0.533,Warning
"10nm",0.444,0.423,-2.079,0.370,0.550,Warning
"10nm",0.369,-0.741,-0.672,-0.873,1.149,Normal
"10nm",0.501,0.893,-2.858,0.127,-0.630,Warning
"10nm",0.491,1.319,-1.217,-1.392,0.390,Normal
"10nm",0.548,1.466,-1.248,-1.178,2.113,Warning
"10nm",0.642,0.164,-0.073,0.847,0.930,Normal
"10nm",0.664,0.361,-0.657,-0.200,0.218,Normal
"10nm",0.500,1.514,-1.529,-0.393,-2.545,Warning
"10nm",0.753,-0.243,-0.227,0.032,0.166,Normal
"10nm",0.650,-0.022,0.027,0.220,0.208,Normal
"10nm",0.301,1.092,-1.931,0.132,0.718,Normal
"10nm",0.434,-1.023,-2.285,-0.278,-0.538,Warning
"10nm",0.566,1.194,-1.512,-1.350,-0.369,Normal
"10nm",0.442,1.497,-1.570,0.478,-2.841,Warning
"10nm",0.782,1.679,-1.318,0.141,0.529,Normal
"10nm",0.679,-0.525,1.993,-0.524,0.203,Normal
"14nm",0.348,-0.335,1.119,-0.798,-0.726,Normal
"14nm",0.370,0.435,-1.563,-0.653,-0.145,Normal
"14nm",0.155,0.611,-1.997,1.287,2.025,Warning
"14nm",0.248,2.392,-0.138,-1.325,0.798,Warning
"14nm",0.290,0.056,-1.743,-0.582,0.137,Normal
"14nm",0.254,0.817,-0.803,0.475,0.260,Normal
"14nm",0.248,0.341,0.194,1.609,1.088,Normal
"14nm",0.210,0.624,-1.039,1.453,-1.706,Normal
"14nm",0.225,2.371,-1.271,-0.841,0.727,Warning
"14nm",0.249,0.472,-1.203,0.705,0.830,Normal
"14nm",0.345,0.416,-0.684,0.311,0.791,Normal
"14nm",0.438,0.402,0.314,-0.078,0.660,Normal
"14nm",0.300,0.819,0.453,0.402,0.390,Normal
"14nm",0.333,1.582,-0.885,0.034,-0.849,Normal
"14nm",0.419,-0.431,-1.261,0.840,1.117,Normal
"14nm",0.369,1.396,-1.364,-0.708,0.925,Normal
"14nm",0.430,1.463,-0.552,1.319,-0.983,Normal
"14nm",0.544,-0.242,-0.384,-0.462,0.174,Normal
"14nm",0.457,-0.305,-0.382,0.216,-0.344,Normal
"14nm",0.251,1.035,-1.084,-0.686,1.868,Normal
"14nm",0.332,0.199,-1.043,-0.827,-0.075,Normal
"14nm",0.300,1.593,0.304,-1.024,-0.501,Normal
"14nm",0.539,-0.253,0.489,-0.162,0.312,Normal
"14nm",0.220,-0.104,-1.385,-0.195,1.453,Normal
"14nm",0.221,-0.327,-1.064,-0.814,-1.340,Normal
"14nm",0.439,-0.272,-0.481,-0.786,0.344,Normal
"14nm",0.345,-1.748,-0.623,0.293,-1.043,Normal
"14nm",0.398,0.991,-0.841,0.835,-0.751,Normal
"14nm",0.387,0.324,-0.230,0.619,0.630,Normal
"14nm",0.324,0.044,-0.570,-0.476,-0.944,Normal
"14nm",0.395,0.100,1.232,-1.726,-0.699,Normal
"14nm",0.296,-0.415,0.003,-0.492,-1.772,Normal
"14nm",0.759,-1.610,1.998,-2.037,-0.151,Warning
"14nm",0.275,-0.244,-0.037,1.081,0.701,Normal
"14nm",0.455,0.049,0.150,-1.155,-0.806,Normal
"14nm",0.293,0.274,-0.691,0.271,-1.277,Normal
"14nm",0.417,-0.862,-0.111,-0.134,-0.920,Normal
"14nm",0.217,1.142,0.307,0.694,0.428,Normal
"14nm",0.340,-0.973,0.810,-1.756,0.724,Normal
"14nm",0.387,-0.596,1.609,1.880,-0.217,Normal
"14nm",0.483,-1.132,-0.047,0.138,0.807,Normal
"14nm",0.289,-0.669,0.047,1.812,0.359,Normal
"14nm",0.270,-0.582,-0.671,0.672,-0.598,Normal
"14nm",0.420,-0.741,1.440,0.778,-0.312,Normal
"14nm",0.277,0.447,-0.375,0.090,0.744,Normal
"14nm",0.384,0.818,-0.732,-0.491,-0.375,Normal
"14nm",0.280,0.455,-0.644,0.051,0.808,Normal
"14nm",0.411,0.774,0.174,0.014,-1.072,Normal
"14nm",0.254,-0.243,0.962,-1.563,1.723,Normal
"14nm",0.380,-0.491,1.212,0.116,0.740,Normal
"14nm",0.242,-0.013,1.758,-0.568,-0.675,Normal
"14nm",0.351,-0.197,0.070,0.366,0.204,Normal
"14nm",0.245,-0.550,-0.417,-0.532,1.652,Normal
"14nm",0.363,0.690,0.209,-0.882,-1.325,Normal
"14nm",0.417,0.548,0.150,-1.005,-1.179,Normal
"14nm",0.254,-0.599,0.777,0.676,-1.171,Normal
"14nm",0.403,-0.849,0.946,1.275,-1.718,Normal
"14nm",0.231,-2.002,1.381,-0.694,0.416,Warning
"14nm",0.476,0.622,1.444,0.632,0.264,Normal
"14nm",0.248,0.002,0.276,-0.125,0.060,Normal
"14nm",0.416,0.978,0.095,-0.232,1.371,Normal
"14nm",0.433,-1.336,-0.646,-1.534,-0.957,Normal
"14nm",0.227,1.781,2.021,-0.962,-0.297,Warning
"14nm",0.389,-0.219,0.105,-0.569,-1.124,Normal
"14nm",0.323,-0.181,-0.357,-0.203,0.323,Normal
"14nm",0.311,0.383,1.226,-0.458,-0.468,Normal
"14nm",0.212,-0.630,-0.056,-0.019,0.634,Normal
"14nm",0.432,1.214,-1.213,0.859,0.405,Normal
"14nm",0.266,-0.088,0.603,0.327,0.575,Normal
"14nm",0.410,-1.126,0.013,0.398,-2.076,Warning
"14nm",0.435,-0.066,1.963,1.623,-0.970,Normal
"14nm",0.316,1.013,1.260,-0.368,0.724,Normal
"14nm",0.426,1.035,0.031,-1.645,1.018,Normal
"14nm",0.315,0.083,1.069,-0.351,0.281,Normal
"14nm",0.244,-1.282,1.142,-0.685,2.277,Warning
"14nm",0.471,-0.076,0.607,-2.016,1.198,Warning
"14nm",0.346,-1.600,1.235,0.769,0.349,Normal
"14nm",0.395,-1.839,-1.557,0.221,-0.816,Normal
"14nm",0.235,-0.927,0.706,1.023,0.284,Normal
"14nm",0.235,0.032,-0.959,0.235,1.770,Normal
"14nm",0.366,-1.728,0.528,-1.552,-1.062,Normal
"14nm",0.468,-0.847,-0.810,0.174,-1.130,Normal
"14nm",0.249,-0.113,-0.589,-1.178,-2.256,Warning
"14nm",0.327,-0.367,0.615,1.387,-0.247,Normal
"14nm",0.356,0.416,-0.075,-0.023,1.337,Normal
"14nm",0.338,-0.409,0.223,0.578,1.679,Normal
"14nm",0.330,-0.887,1.227,-0.230,0.570,Normal
"14nm",0.297,-0.828,-0.859,0.515,-0.166,Normal
"14nm",0.669,-0.233,1.368,-1.998,1.148,Normal
"14nm",0.374,-0.845,0.698,1.603,-0.397,Normal
"14nm",0.318,-0.950,0.024,-0.493,1.246,Normal
"14nm",0.409,-0.794,1.542,-0.306,-1.243,Normal
"14nm",0.363,3.126,-1.569,-1.680,-0.855,OOC
"14nm",0.359,-0.095,-0.921,2.685,-0.259,Warning
"14nm",0.299,0.043,-0.505,0.318,0.848,Normal
"14nm",0.343,-1.161,-1.837,-1.257,-1.130,Normal
"14nm",0.389,-0.917,-0.993,1.161,-1.005,Normal
"14nm",0.267,1.062,0.738,-0.925,1.191,Normal
"14nm",0.339,-0.164,0.877,0.606,-0.239,Normal
"14nm",0.262,-1.405,0.489,-0.666,0.219,Normal
"14nm",0.472,-0.920,-1.552,0.088,-0.663,Normal
"14nm",0.263,-0.688,0.982,-0.931,0.333,Normal
"14nm",0.361,-0.147,-0.001,-0.855,0.603,Normal
"14nm",0.398,0.113,-0.052,-0.960,0.093,Normal
"14nm",0.382,1.572,-0.146,-0.255,-0.484,Normal
"14nm",0.251,-0.274,-0.847,1.506,-1.807,Normal
"14nm",0.348,0.474,0.669,0.345,-0.024,Normal
"14nm",0.285,-0.365,-0.761,0.376,-0.796,Normal
"14nm",0.261,1.262,1.183,0.091,-1.345,Normal
"14nm",0.461,-1.813,-0.673,-2.436,0.717,Warning
"14nm",0.351,0.338,-0.324,0.839,-0.256,Normal
"14nm",0.346,0.417,0.085,1.351,0.993,Normal
"14nm",0.222,0.182,1.478,0.813,1.496,Normal
"14nm",0.314,1.136,-0.084,-0.739,0.339,Normal
"14nm",0.365,-0.529,1.077,1.512,0.625,Normal
"14nm",0.367,0.037,0.609,-1.100,-0.541,Normal
"14nm",0.384,-0.074,-0.621,-0.230,0.732,Normal
"14nm",0.352,0.520,-0.954,1.085,-1.249,Normal
"14nm",0.310,0.819,-0.331,0.675,-0.839,Normal
"14nm",0.404,0.564,-1.627,-1.119,0.024,Normal
"14nm",0.311,0.824,0.296,0.765,0.667,Normal
"14nm",0.235,0.273,1.214,-0.328,-2.464,Warning
"14nm",0.340,0.157,-0.896,2.807,0.091,Warning
"14nm",0.249,-0.724,0.735,-0.532,-0.458,Normal
"14nm",0.290,-0.189,-0.117,0.306,0.114,Normal
"14nm",0.228,1.893,0.445,0.933,-1.663,Normal
"14nm",0.184,1.829,-1.572,2.105,-1.089,Warning
"14nm",0.192,0.962,-1.360,-0.212,0.152,Normal
"14nm",0.284,0.273,-0.997,0.363,-1.614,Normal
"14nm",0.385,1.663,-2.962,0.653,-2.677,Warning
"14nm",0.410,0.943,0.684,-0.435,-0.498,Normal
"14nm",0.412,0.132,-1.884,-1.484,-0.842,Normal
"14nm",0.472,1.504,-1.592,-1.831,1.016,Normal
"14nm",0.307,1.540,-1.272,-0.473,-1.473,Normal
"14nm",0.374,0.843,0.071,2.163,0.056,Warning
"14nm",0.231,2.511,-1.638,-0.252,-1.078,Warning
"14nm",0.289,1.379,-0.560,-0.195,-0.799,Normal
"14nm",0.308,1.240,-0.931,-1.457,0.182,Normal
"14nm",0.355,1.604,-2.830,1.003,0.107,Warning
"14nm",0.234,1.488,-0.845,-0.555,0.064,Normal
"14nm",0.369,1.496,-1.074,1.115,-0.974,Normal
"14nm",0.399,1.315,-0.574,0.347,1.190,Normal
"14nm",0.338,2.062,-1.514,0.015,-1.664,Warning
"14nm",0.218,0.603,-0.906,1.458,-0.627,Normal
"14nm",0.400,1.970,-0.580,0.749,-0.672,Normal
"14nm",0.208,0.709,0.499,0.802,-1.233,Normal
"14nm",0.395,2.433,-2.838,0.390,-0.988,Warning
"14nm",0.249,-0.707,0.629,1.336,1.613,Normal
"14nm",0.283,1.582,0.172,-0.187,1.309,Normal
"14nm",0.283,2.407,-1.483,0.793,1.045,Warning
"14nm",0.469,0.664,0.939,-0.721,-0.223,Normal
"14nm",0.235,-1.711,-0.675,-0.752,-0.296,Normal
"14nm",0.439,-1.109,1.374,-0.801,0.850,Normal
"14nm",0.261,-0.486,0.175,-0.718,-0.812,Normal
"14nm",0.339,-1.482,0.240,-0.456,0.002,Normal
"14nm",0.324,-0.243,1.858,0.408,0.644,Normal
"14nm",0.326,-0.039,1.076,-0.306,0.531,Normal
"14nm",0.691,-1.311,1.358,-2.101,-0.001,Warning
"14nm",0.425,-1.527,-0.761,0.488,0.618,Normal
"14nm",0.284,-1.012,1.497,0.158,0.884,Normal
"14nm",0.279,-1.001,2.052,0.917,-0.282,Warning
"14nm",0.221,-0.827,1.186,1.344,-1.387,Normal
"14nm",0.457,-1.426,-0.361,0.304,-0.588,Normal
"14nm",0.409,-0.893,-0.670,0.569,-0.731,Normal
"14nm",0.264,-0.868,-0.012,0.062,-0.344,Normal
"14nm",0.331,-1.956,0.144,0.423,1.241,Normal
"14nm",0.374,-0.349,0.777,0.104,0.015,Normal
"14nm",0.428,-0.194,-0.263,-0.016,-0.141,Normal
"14nm",0.452,-1.037,1.565,0.820,0.216,Normal
"14nm",0.240,-0.791,1.582,0.437,-0.280,Normal
"14nm",0.410,-0.940,-0.441,0.237,0.685,Normal
"14nm",0.405,0.270,1.843,-1.657,-0.184,Normal
"14nm",0.555,-0.686,0.044,-1.816,0.472,Normal
"14nm",0.322,-0.354,0.869,-0.122,-0.699,Normal
"14nm",0.404,-0.181,0.041,0.862,0.786,Normal
"14nm",0.306,-0.244,-0.503,1.041,0.857,Normal
"14nm",0.444,-1.074,-0.746,1.510,0.088,Normal
"14nm",0.421,-0.063,1.950,-0.171,-1.342,Normal
"14nm",0.371,-0.972,-0.337,0.016,0.970,Normal
"14nm",0.284,0.061,1.462,0.268,-1.856,Normal
"14nm",0.344,-0.761,0.243,-2.259,-2.177,Warning
"14nm",0.386,-0.795,0.902,-0.163,1.415,Normal
"14nm",0.245,0.434,0.987,-0.122,0.587,Normal
"14nm",0.418,0.999,-1.327,-0.229,-0.747,Normal
"14nm",0.194,0.524,0.905,0.160,1.561,Normal
"14nm",0.370,0.528,0.099,-0.146,-0.413,Normal
"14nm",0.453,0.227,-0.261,0.803,1.022,Normal
"14nm",0.359,-0.448,-0.198,-1.166,0.114,Normal
"14nm",0.396,1.055,0.420,0.027,0.174,Normal
"14nm",0.180,-0.167,0.118,-0.993,2.318,Warning
"14nm",0.290,-2.210,-0.234,-0.347,-1.256,Warning
"14nm",0.372,0.067,0.383,1.042,-1.241,Normal
"14nm",0.313,-0.187,-0.685,1.924,-1.199,Normal
"14nm",0.318,-1.094,1.261,1.019,1.120,Normal
"14nm",0.399,0.816,-0.826,2.180,0.175,Warning
"14nm",0.403,-0.620,-0.397,-0.117,-1.645,Normal
"14nm",0.461,-0.509,0.845,0.043,-0.351,Normal
"14nm",0.334,-0.437,2.011,0.422,-0.021,Warning
"14nm",0.349,0.134,-1.203,-0.198,1.063,Normal
"14nm",0.428,-0.097,-0.122,-1.503,0.964,Normal
"14nm",0.296,-0.727,-1.429,0.443,1.319,Normal
"14nm",0.371,-1.046,1.520,-0.265,0.458,Normal
"14nm",0.278,1.036,-0.121,-0.105,-1.252,Normal
"14nm",0.425,-1.024,1.079,0.401,-0.262,Normal
"14nm",0.470,-0.853,1.628,-1.466,1.102,Normal
"14nm",0.548,-1.609,0.850,-1.577,1.133,Normal
"14nm",0.333,-0.346,1.143,2.558,-0.637,Warning
"14nm",0.372,-0.481,1.963,-0.616,-0.365,Normal
"14nm",0.347,-1.813,0.455,0.153,-2.294,Warning
"14nm",0.284,0.989,0.083,0.021,-0.581,Normal
"14nm",0.291,-0.503,0.028,2.023,-1.257,Warning
"14nm",0.283,-0.404,1.280,1.654,-0.260,Normal
"14nm",0.301,0.780,0.554,-0.351,0.586,Normal
"14nm",0.225,-0.468,0.713,0.224,0.190,Normal
"14nm",0.258,-1.157,0.261,-1.362,1.073,Normal
"14nm",0.342,-1.507,1.095,-0.220,0.010,Normal
"14nm",0.384,-1.341,0.173,-0.631,0.045,Normal
"14nm",0.274,-0.005,0.248,-0.568,1.696,Normal
"14nm",0.355,-1.467,0.557,1.141,-0.916,Normal
"14nm",0.387,-1.934,-0.248,-0.287,-0.975,Normal
"14nm",0.460,-0.896,-0.257,-0.046,-0.753,Normal
"14nm",0.240,-0.708,-0.233,-0.134,-1.024,Normal
"14nm",0.258,-1.428,-0.381,1.021,-0.349,Normal
"14nm",0.441,-0.819,-0.354,-0.058,1.340,Normal
"14nm",0.150,0.033,-0.096,1.795,1.709,Normal
"14nm",0.319,0.121,1.266,0.374,-0.512,Normal
"14nm",0.148,0.351,-0.426,-1.188,1.688,Normal
"14nm",0.689,0.910,-0.824,-2.378,-0.047,Warning
"14nm",0.358,-0.434,0.299,0.753,-0.086,Normal
"14nm",0.312,0.663,0.608,0.151,-0.014,Normal
"14nm",0.268,1.156,-1.232,0.960,1.939,Normal
"14nm",0.394,-0.438,-2.097,-0.767,0.599,Warning
"14nm",0.512,-0.079,0.144,-2.337,-0.960,Warning
"14nm",0.181,1.532,0.502,1.628,1.968,Normal
"14nm",0.387,-1.105,0.231,0.467,-0.204,Normal
"14nm",0.401,-0.208,-1.353,0.392,0.256,Normal
"14nm",0.284,-0.502,0.833,-0.346,1.256,Normal
"14nm",0.202,0.738,0.010,0.812,2.296,Warning
"14nm",0.367,1.760,-0.467,-0.847,-0.367,Normal
"14nm",0.261,1.117,0.561,-0.668,-0.033,Normal
"14nm",0.244,-0.374,0.061,-1.289,-0.358,Normal
"14nm",0.202,2.025,-0.755,-0.424,1.201,Warning
"14nm",0.277,-0.031,-1.546,-0.765,-0.234,Normal
"14nm",0.357,-0.330,0.307,-0.218,0.735,Normal
"14nm",0.337,-1.250,0.156,-0.482,-0.304,Normal
"14nm",0.374,0.836,0.335,-0.490,0.890,Normal
"14nm",0.387,0.680,-1.421,-1.581,1.625,Normal
"14nm",0.298,0.619,-0.422,-0.356,-0.057,Normal
"14nm",0.369,0.061,-1.188,1.314,0.467,Normal
"14nm",0.390,-0.008,0.314,0.117,-0.616,Normal
"22nm",0.294,1.712,-0.173,-0.209,-0.553,Normal
"22nm",0.310,0.003,-1.871,2.671,-0.274,Warning
"22nm",0.213,-0.548,-0.328,-0.085,-0.623,Normal
"22nm",0.340,0.694,-1.635,0.216,-1.563,Normal
"22nm",0.228,1.192,-0.819,0.796,-1.570,Normal
"22nm",0.345,0.571,-1.958,-1.538,-1.123,Normal
"22nm",0.283,1.067,-1.907,0.252,-0.346,Normal
"22nm",0.410,2.224,-1.504,-0.138,-0.816,Warning
"22nm",0.311,1.197,0.944,0.824,0.200,Normal
"22nm",0.267,0.960,-0.304,1.940,0.279,Normal
"22nm",0.268,0.539,-1.888,-0.401,1.006,Normal
"22nm",0.340,1.085,0.343,1.374,0.002,Normal
"22nm",0.303,0.329,-0.102,-1.212,0.215,Normal
"22nm",0.213,0.731,-0.886,-0.524,1.922,Normal
"22nm",0.310,-0.778,-0.284,0.488,1.107,Normal
"22nm",0.353,0.911,-1.323,-0.563,-0.241,Normal
"22nm",0.346,0.461,-0.173,-0.477,-0.772,Normal
"22nm",0.449,0.791,-1.965,0.879,-1.195,Normal
"22nm",0.373,0.806,-2.377,0.363,-0.509,Warning
"22nm",0.440,1.900,0.150,-0.342,0.087,Normal
"22nm",0.275,1.211,-2.938,-0.914,0.741,Warning
"22nm",0.386,1.198,-0.024,1.455,0.341,Normal
"22nm",0.432,0.362,0.788,0.915,0.062,Normal
"22nm",0.202,1.913,0.390,-1.843,1.277,Normal
"22nm",0.185,0.769,-1.400,1.341,3.222,OOC
"22nm",0.371,0.573,0.152,2.128,1.084,Warning
"22nm",0.295,0.954,-0.861,0.744,-1.646,Normal
"22nm",0.298,1.222,0.231,0.510,0.690,Normal
"22nm",0.453,0.911,-0.610,-0.266,0.131,Normal
"22nm",0.228,0.121,1.402,-0.998,-0.429,Normal
"22nm",0.387,0.289,0.223,-0.579,1.242,Normal
"22nm",0.220,0.699,0.650,-0.553,0.713,Normal
"22nm",0.356,-0.570,0.515,-1.154,0.159,Normal
"22nm",0.326,0.342,-0.324,-2.069,-0.586,Warning
"22nm",0.341,1.068,-0.896,-0.061,0.682,Normal
"22nm",0.286,1.526,-1.478,-0.175,0.762,Normal
"22nm",0.317,0.968,-0.145,1.209,0.121,Normal
"22nm",0.285,1.551,-1.464,-0.163,1.281,Normal
"22nm",0.348,-0.477,1.468,0.694,-0.882,Normal
"22nm",0.461,1.382,0.068,1.000,-0.675,Normal
"22nm",0.521,0.993,0.108,0.413,-1.625,Normal
"22nm",0.233,0.934,-0.218,0.722,0.076,Normal
"22nm",0.213,1.896,-0.339,-0.815,2.227,Warning
"22nm",0.405,0.796,-0.156,-0.364,-2.418,Warning
"22nm",0.409,0.330,0.060,1.680,1.209,Normal
"22nm",0.257,0.696,-1.317,-0.100,1.604,Normal
"22nm",0.181,-0.711,0.798,-0.783,1.616,Normal
"22nm",0.272,0.870,1.682,-0.742,-0.537,Normal
"22nm",0.199,1.250,-0.337,0.305,0.264,Normal
"22nm",0.618,1.158,0.019,-0.028,0.750,Normal
"22nm",0.355,-1.221,-0.164,0.637,-0.049,Normal
"22nm",0.433,-0.440,-0.148,1.315,-0.238,Normal
"22nm",0.317,-2.250,0.764,-0.479,1.561,Warning
"22nm",0.274,-1.133,-0.089,0.044,-0.747,Normal
"22nm",0.232,-1.103,-1.139,-0.214,-0.983,Normal
"22nm",0.313,-0.806,-0.254,-0.665,-1.639,Normal
"22nm",0.325,-1.801,0.506,0.210,0.489,Normal
"22nm",0.291,-1.615,0.013,0.502,1.282,Normal
"22nm",0.341,-0.071,0.708,0.900,0.285,Normal
"22nm",0.390,-1.663,-0.249,-0.876,-0.222,Normal
"22nm",0.382,-0.776,1.358,-1.227,-0.050,Normal
"22nm",0.358,-0.082,-0.703,1.007,-1.848,Normal
"22nm",0.439,-1.042,0.182,1.204,1.097,Normal
"22nm",0.409,-1.308,-0.328,-0.534,0.272,Normal
"22nm",0.276,-0.927,-1.537,-0.024,0.522,Normal
"22nm",0.441,-0.734,0.048,-0.941,-0.090,Normal
"22nm",0.313,-1.156,-0.160,-0.153,-1.104,Normal
"22nm",0.336,-1.792,0.101,0.073,-0.980,Normal
"22nm",0.436,-0.478,-1.783,-0.374,-0.985,Normal
"22nm",0.284,-1.623,1.043,0.583,2.046,Warning
"22nm",0.240,-0.063,0.944,-0.859,0.355,Normal
"22nm",0.346,-1.913,1.229,-0.657,0.343,Normal
