"technology_node","lot_id","wafer_id","etch_rate","deposition_rate","critical_dimension","oxide_thickness","yield","er_flag","dr_flag","cd_flag","ot_flag"
"7nm",LOT_0047,W021,3.80,1.74,17.68,50.03,0.92,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W006,3.63,1.93,17.70,48.06,0.92,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W011,3.49,1.98,18.54,51.21,0.92,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W021,3.60,1.96,17.51,53.94,0.92,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W009,3.72,1.63,24.71,53.74,0.21,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W007,3.51,1.94,24.17,51.43,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W023,3.67,1.98,24.72,55.92,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W013,3.61,1.94,24.52,51.35,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W004,3.63,1.72,24.27,53.96,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W025,3.70,1.86,24.07,52.42,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W002,3.52,1.84,24.77,57.11,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W011,3.49,1.89,25.38,54.49,0.30,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0050,W020,3.71,1.68,22.23,56.91,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W014,3.58,1.91,24.18,52.71,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W025,3.48,1.96,24.65,57.16,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W011,3.67,1.92,21.96,53.70,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W017,3.59,1.90,22.23,57.18,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W021,3.79,1.96,22.65,55.33,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W009,3.60,1.83,22.97,54.88,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W022,3.52,2.08,21.79,53.81,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W003,3.62,1.88,24.64,54.68,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W025,3.65,1.90,21.99,51.70,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W013,3.62,1.71,24.00,53.26,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W006,3.58,1.96,24.10,54.41,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W014,3.71,2.13,22.30,60.03,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W024,3.73,1.98,24.50,55.77,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W005,3.65,1.91,21.26,52.65,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W010,3.64,1.85,22.30,53.76,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W012,3.82,1.84,24.05,60.18,0.37,WARNING,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0050,W011,3.54,1.83,20.81,58.00,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W020,3.76,1.93,25.54,55.06,0.37,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0018,W012,3.65,1.99,25.22,54.77,0.37,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0017,W002,3.55,1.87,22.72,51.39,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W005,3.59,2.00,24.04,54.11,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W009,3.62,1.82,24.02,54.73,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W001,3.44,1.87,25.00,53.82,0.39,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0035,W006,3.60,1.89,23.60,56.13,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W008,3.56,2.05,21.51,54.49,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W011,3.56,1.93,22.26,58.27,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W017,3.52,2.00,19.04,52.65,0.39,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0010,W019,3.54,1.91,25.22,59.58,0.39,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0003,W001,3.54,2.17,23.39,55.15,0.40,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W009,3.44,1.92,25.44,51.53,0.40,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0044,W001,3.69,1.81,23.67,52.38,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W014,3.63,2.01,21.40,50.96,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W024,3.69,1.95,23.35,58.14,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W004,3.50,1.90,23.46,56.99,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W013,3.69,1.75,23.52,54.55,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W005,3.69,1.67,19.58,56.32,0.41,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W015,3.56,1.99,22.36,48.68,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0038,W014,3.45,1.80,21.30,53.19,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W025,3.69,1.92,20.72,54.48,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W007,3.54,1.86,20.99,59.07,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W024,3.57,2.00,21.07,56.20,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W019,3.55,2.06,20.84,55.06,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W016,3.58,1.86,22.05,51.59,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W009,3.58,1.88,20.97,61.08,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0018,W020,3.63,2.11,20.69,54.72,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W014,3.47,1.74,20.64,58.49,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W015,3.62,1.74,22.51,54.42,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W005,3.47,1.79,20.86,52.44,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W002,3.31,2.14,19.99,53.97,0.42,OOC,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W011,3.64,1.99,24.26,54.38,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W002,3.73,1.88,22.34,57.12,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W019,3.73,1.98,20.59,51.36,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W017,3.60,2.12,21.63,54.58,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W024,3.68,1.80,22.15,58.78,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W007,3.65,1.95,21.14,54.02,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W021,3.51,1.64,21.65,53.73,0.43,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W001,3.53,2.02,24.64,58.06,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W015,3.53,1.77,22.30,55.16,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W018,3.61,2.05,23.35,55.52,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W002,3.85,1.93,20.93,54.54,0.44,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W023,3.75,1.73,22.72,47.90,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0044,W020,3.60,2.00,21.75,52.86,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W010,3.65,1.67,22.56,56.48,0.44,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W007,3.67,1.78,20.06,54.56,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W019,3.62,1.98,23.50,56.61,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W007,3.64,1.94,28.72,57.55,0.45,IN_CONTROL,IN_CONTROL,OOC,IN_CONTROL
"10nm",LOT_0027,W009,3.54,2.02,22.59,52.84,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W018,3.62,1.79,21.51,52.39,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W001,3.58,1.85,23.55,57.74,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W023,3.54,1.90,20.32,49.59,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0032,W021,3.56,1.73,21.99,58.51,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W019,3.80,1.76,21.73,55.43,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W018,3.63,1.90,21.97,52.82,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W005,3.64,1.82,20.80,55.80,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W016,3.61,2.09,20.30,56.27,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W005,3.63,1.81,22.67,55.81,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W011,3.60,1.95,21.80,53.58,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W021,3.50,2.09,23.78,59.18,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W020,3.66,1.88,24.12,58.04,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W013,3.64,1.91,20.70,55.03,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W013,3.58,1.79,21.22,55.85,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W023,3.69,1.81,21.23,55.22,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W018,3.65,1.69,22.73,57.18,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W021,3.65,1.93,20.07,54.14,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W007,3.60,1.93,23.10,53.60,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W021,3.55,1.86,22.24,53.92,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W016,3.72,1.72,21.78,56.17,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W021,3.49,1.88,19.23,49.89,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0032,W007,3.53,2.00,19.64,50.99,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W006,3.69,1.83,23.97,57.79,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W002,3.61,1.59,22.24,52.04,0.48,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W025,3.56,2.11,21.88,54.20,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W022,3.58,1.73,21.76,56.77,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W016,3.51,1.78,22.75,60.25,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0032,W003,3.50,2.01,22.89,58.88,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W018,3.62,1.73,22.99,55.75,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W004,3.61,1.87,22.67,55.75,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W023,3.56,1.97,19.58,53.89,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W009,3.76,1.89,20.88,58.56,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W002,3.85,2.00,23.16,60.48,0.49,WARNING,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0033,W006,3.66,2.06,20.36,59.53,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W001,3.65,2.16,21.11,55.59,0.49,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W013,3.68,1.82,22.87,51.07,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W013,3.74,1.77,20.08,56.08,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W023,3.69,1.95,19.84,54.36,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W014,3.60,1.92,21.94,53.54,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W020,3.67,1.99,21.58,54.60,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W020,3.64,1.72,22.58,53.52,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W008,3.63,2.13,20.37,52.61,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W017,3.75,1.73,21.49,48.65,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0050,W012,3.70,1.58,22.22,53.50,0.50,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W003,3.57,1.93,21.60,55.42,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W024,3.49,1.98,21.81,52.34,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W012,3.46,1.91,21.47,56.13,0.51,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W005,3.52,1.83,21.48,54.20,0.51,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W018,3.52,2.10,25.13,53.93,0.51,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0050,W008,3.74,1.74,23.82,55.45,0.51,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W010,3.77,1.79,22.82,54.98,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W003,3.80,1.81,21.67,50.13,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W010,3.70,1.90,23.13,54.51,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W022,3.54,2.26,23.76,53.63,0.52,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W017,3.54,1.92,23.78,53.53,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W025,3.58,1.70,20.72,55.12,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W008,3.57,1.88,22.50,53.20,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W017,3.65,1.81,19.52,53.86,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W018,3.86,1.90,23.89,50.84,0.53,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W012,3.61,1.90,21.38,55.20,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W020,3.72,2.06,22.45,54.64,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W010,3.70,2.11,21.18,52.50,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W017,3.69,1.80,22.08,53.24,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W003,3.52,2.02,22.43,52.09,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W023,3.54,1.97,23.76,55.45,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W022,3.70,1.83,22.00,55.15,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W016,3.62,1.90,23.60,56.52,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W012,3.67,2.04,23.98,53.27,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W022,3.60,1.87,21.27,58.48,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W017,3.65,1.92,23.79,57.10,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W006,3.57,2.04,23.23,49.13,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0033,W023,3.77,1.86,20.84,53.31,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W003,3.59,2.00,22.12,53.85,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W025,3.65,1.98,22.63,52.78,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W024,3.61,2.09,20.59,51.08,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W004,3.65,1.98,23.34,57.31,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W014,3.75,1.77,20.38,60.44,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0044,W024,3.74,1.83,23.59,56.19,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W006,3.59,2.00,23.06,53.82,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W020,3.47,1.93,22.27,53.32,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W019,3.59,1.92,22.65,55.87,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W014,3.59,2.16,20.63,55.20,0.55,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W004,3.63,1.98,20.27,55.80,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W018,3.47,2.01,21.00,58.40,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W018,3.64,1.93,22.75,60.72,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0015,W007,3.53,2.12,23.50,58.90,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W020,3.82,1.99,21.78,52.41,0.56,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W002,3.54,1.84,19.60,50.23,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W008,3.63,1.96,21.95,59.78,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W001,3.59,2.03,23.42,55.50,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W006,3.74,2.17,19.75,55.10,0.56,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W015,3.74,1.86,22.86,51.95,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W022,3.72,1.73,20.14,54.16,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W008,3.52,1.89,24.00,59.80,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W003,3.66,1.66,21.84,58.21,0.57,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W001,3.49,1.95,22.47,51.05,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W015,3.52,2.04,22.06,54.32,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W018,3.71,1.98,21.79,55.01,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W023,3.65,1.78,20.59,53.72,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W022,3.66,1.91,21.49,52.76,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W014,3.44,1.94,21.30,52.52,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W014,3.71,1.89,21.53,57.89,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W001,3.72,1.81,21.06,56.48,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W014,3.59,1.76,22.39,54.59,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W015,3.68,1.84,22.85,57.20,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W024,3.54,1.98,20.49,52.21,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W021,3.60,1.77,20.45,52.61,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W019,3.71,1.72,22.34,56.39,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W020,3.70,1.92,21.49,56.41,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W005,3.67,1.88,21.21,51.51,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W019,3.64,1.88,22.73,52.83,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W018,3.47,2.02,23.80,52.26,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W016,3.79,1.79,20.08,55.72,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W011,3.60,2.05,23.41,55.47,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W006,3.40,1.97,21.97,50.82,0.60,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W014,3.74,1.87,21.22,49.68,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0044,W008,3.73,1.87,21.02,53.61,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W024,3.36,1.89,23.07,56.07,0.60,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
